,,,,,,,NOSC-L,,,,,,,TCN-L,,,,,,,TRT,,,,,,,TRT (Lot 7),,,,,,,RHN,,,,,,,SNE-NG,,,,,,,POP-NG,,,,,,,Maintenance Laptop Kit,,,,,,,STT Laptop Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor,Product,Version,Category,Part Number,,,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Kibana,0.8.2,G,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Elasticsearch,0.8.2,G,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Logstash,0.8.2,G,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Beats,0.8.2,G,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Endgame,0.8.2,G,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (PacStar),IQ-Core Client,5.1.14.376,G,,,,15,,2,13,,,,4,,,3,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (PacStar),IQ-Core Server,5.1.14.376,G,,,,3,,,,,3,,3,,,,,3,,1,,,,,1,,1,,,,,1,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (REACTR),Windows 10 Enterprise LTSC,1809,G,US00202399,,,17,,4,13,,,,4,,,3,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (REACTR),Windows 2019 Datacenter,10.0.17763,G,2901781,,,9,,,,,9,,9,,,,,9,,1,,,,,1,,1,,,,,1,,9,,,,,9,,5,,,,,5,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (REDCOM),Sigma Core,3.1.2,G,2902402,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (REDCOM),Sigma Secure Client (Softphone ),5.1.5,G,2902404,,,15,,2,13,,,,3,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (TN),Sigma Core Provisioning Tool (SPT),4.2.0,G,2902403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (TNIC) ,CIT,1.5,G,2847100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intalio Inc.,Castor,0.9.7,F,2849397,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntelliPower UPS Megatec Netility,Netility,4.5,V,2902412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ireasoning.com,iReasoning,5.0.5,V,2825962,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,Java,1.8.0_0221,V,2902413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jidesoft.com,JIDE Common,3.6.14,F,282604500%,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jounin.net,tftpd32,3.35,F,US00202400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jquery.com,Jquery,2.2.3,F,2846907,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jquery.com,Jquery,3.1.0,F,2846907,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knockoutjs.com,KnockoutJS,3.4.2,F,2846908,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3 Modem Maintenance Software,HCI,2.3.6.0,V,2828918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maven,SwingX,1.6.5-1,F,2826046,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,.NET,4.6.2,G,2840984,,,18,,2,13,,3,,7,,,3,,3,1,2,,1,,,1,,2,,1,,,1,,,,,,,,,3,,,,,2,1,3,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,.NET,4.8,G,2840984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Access Database Engine,2010 SP2,G,2846484,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,ContentStore,2.5.22.3.48,G,,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,ASP .NET Core,5.0.15.22116,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Deployment Tools,8.100.26366,F,2900326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,DSC for Linux,2.1.1-0,F,,,,11,,,,,11,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Edge,104.0.1293.54,F,,,,23,,4,13,,6,,10,,,3,,6,1,1,,1,,,,,1,,1,,,,,9,,,,,9,,4,,,,,3,1,4,,,,,3,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Entity Framework,6.3.0,F,2900323,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Hyper-V Manager,10.0.17763.1,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,IIS,8.5,G,2839143,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,LPE,1.22.0728.1142 ,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,OMI,1.6.8-0,F,,,,3,,,,,3,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,OMI PSRP Server   ,1.4.2-2,F,,,,3,,,,,3,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Powershell,5.1,F,2839324,,,23,,4,13,,6,,10,,,3,,6,1,1,,1,,,,,1,,1,,,,,9,,,,,9,,4,,,,,3,1,4,,,,,3,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Powershell,7.1.3,F,2839324,,,14,,,,,14,,13,,,,,13,,,,,,,,,,,,,,,,,,,,,,,6,,,,,6,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft ,PowerSTIG,4.12.1,G,US00202401,,,26,,4,13,,9,,16,,,3,,12,1,1,,1,,,,,1,,1,,,,,9,,,,,9,,8,,,,,7,1,8,,,,,7,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,RDT,1.22.0718.1243,G,,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M+112:119icrosoft,Report Viewer 2012,11.1.3452.0,F,2847105,,,3,,,,,3,,6,,,,,6,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,RPS Core,4.0.1,G,,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,RPS Provisioning Service,1.0.0.0,G,,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Sidewinder,1.0.0,G,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,RPS Task Management Service,1.0.0.0,G,,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Thundercat,1.3.0,G,,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,VISIO Pro,2013 SP1,G,2826032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2005 Redistributable,8.0.61001,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2005 SP1 Redist(x64),8.0.56336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2005 SP1 Redist(x86),8.0.56336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2012 Redist(x64),11.0.61030.0,,,,,,,,,,,,3,,,3,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2012 Redist(x86),11.0.61030.0,,,,,,,,,,,,3,,,3,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2013 Redist(x64),12.0.21005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2013 Redist(x64),12.0.40660.0,,,,,,,,,,,,4,,,3,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2013 Redist(x86),12.0.21005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2015-2019 Redist(x64),14.27.29016,,,,,6,,,,,6,,6,,,,,6,,,,,,,,,,,,,,,,9,,,,,9,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2015-2019 Redist(x64),14.30.30704,,,,,3,,,,,3,,3,,,,,3,,1,,,,,1,,1,,,,,1,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2015-2019 Redist(x86),14.27.29016,,,,,6,,,,,6,,6,,,,,6,,,,,,,,,,,,,,,,9,,,,,9,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,WEB Grease,1.6.5.135.21930,F,2846911,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Windows Desktop Runtime,5.0.15.31016,F,,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozilla,Firefox ESR ,91.13.0,F,US00202402,,,18,,2,13,,3,,4,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA,Worldwind,2.1,G,2841127,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Geophysical Data Center (NOAA),Magnetic Declination,677,G,2849398,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netapp,OnCommand,3.1.2.6399,F,2839326,,,15,,2,13,,,,3,,,3,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newtonsoft,Json.NET,12.0.2,F,2846912,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
notepad-plus-plus.org,Notepad++,6.9.1,F,2828919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSSH,OpenSSH,5.3-p1,F,2817114,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSSH,OpenSSH,7.4-p1,F,2817114,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSSH,OpenSSH,8.1p1-1,F,2817114,,,17,,4,13,,,,3,,,3,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palo Alto ,Panorama ,10.17.1,G,2846480,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palo Alto ,Next Generation Virtual Firewall (PanOS),10.17.1,G,2846481,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palo Alto ,Next Gen Virtual Firewall License,VM-100,G,US00202403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palo Alto ,Next Gen Virtual Firewall License,VM-300,G,US00202403,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perl.org,Perl,5.8.0,F,2849884,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL,PostgreSQL,12.10,F,,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Tatham,PuTTy,0.77,F,2817085,,,21,,4,13,,4,,8,,,3,,4,1,2,,1,,,1,,2,,1,,,1,,,,,,,,,4,,,,,3,1,4,,,,,3,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CentOS,CentOS (64 Bit),7.90,F,,,,14,,,,,14,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hat,Linux Enterprise Server (64 Bit),7.7,G,2848137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openjdk.org,OpenJDK (64 Bit),8u342,F,2847133,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Hat,open-vm-tools ,10.3.10-2,F,2847107,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF Linx,Tunable Antennafier,1.3,V,2825947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbed,Performance Enhancing Proxy (PEP),9.14.1,G,2839394,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,6,,,,,6,,1,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbed ,WinPcap,4.1.3,G,2844419,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbed,Win10Pcap ,10.2.5002,G,2847102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rxtx.org,RxTx,2.1,F,2824948,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC,SEC SIT Tool ,4QFY22 2.5.22.4,D,,,,29,,4,13,,12,,13,,,3,,9,1,1,,1,,,,,1,,1,,,,,9,,,,,9,,6,,,,,5,1,6,,,,,5,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sencha,EXT JS,5.1.3,F,2828943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Hound Spike,Spike,3.1.14.3,V,2902414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SolarWinds Desktop Toolset,v2020.2.6 HF2,G,,,,,,,,,,,3,,,3,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SolarWinds Engineer's Toolset,2.5.22.3.00,G,2817095,,,,,,,,,,3,,,3,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Netflow Traffic Analyzer,V2020.2.6,G,2826036,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Solarwinds Network Configuration Manager ENT  DL500,7.7,G,2826033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Solarwinds Network Configuration Manager ENT Unlimited V2 DLX,7.7,G,2826034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Solarwinds Orion Network Performance Monitor (NPM),V2020.2.6 HF3,G,2826035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SFTP/SCP Server,2.2.0.120,F,2844813,,,,,,,,,,3,,,3,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SFTP/SCP Server,1.1.0.16,F,2844813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,TFTP Server,11.2.0,F,2826041,,,,,,,,,,3,,,3,,,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
