,,,,,,,NOSC-L,,,,,,,TCN-L,,,,,,,TRT,,,,,,,TRT (Lot 7),,,,,,,RHN,,,,,,,SNE-NG,,,,,,,POP-NG,,,,,,,Maintenance Laptop Kit,,,,,,,STT Laptop Kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor,Product,Version,Category,Part Number,,,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,Total,Server,GD8000,Getac,cPCI,Server VM,Laptop VM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apache,Apache POI OOXML Schemas,1.1,F,2849869,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apache,HTTPClient,3.1,F,2817025,,,2,,2,,,,,4,,,3,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apache,log4j,2.17.2,F,,,,3,,,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apache,Struts2,2.5.17,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apache Commons,Logging,1.1.1,F,2817028,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoitScript,Auto-It Scripts,3.3.6.1,F,2817031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axway,Desktop Validator Standard,5.1,G,2817106,,,17,,4,13,,,,4,,,3,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azul,Zulu JDK (64 bits),8u345b09 / Zulu: 8.64.0.19,F,US00202390,,,20,,4,13,,3,,7,,,3,,3,1,1,,1,,,,,1,,1,,,,,,,,,,,,3,,,,,2,1,3,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azul,Zulu JRE (32 bits),8u345b09 / Zulu: 8.64.0.19,F,US00202391,,,17,,4,13,,,,4,,,3,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azul,Zulu JRE (64 bits),8u345b09 / Zulu: 8.64.0.19,F,US00202392,,,17,,4,13,,,,4,,,3,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,1,1,,,,,,1,2,,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
