Vendor,ProductName(TotalCI/NodeQuantity),Version,Function,IntendedUse,Product Category,LCCE UniqueID,PLM/PDM Root,PLM/PDM Part Number,"Mitigated Version #
(25 char limit exceeded)",Virtual Endpoint Client S/NVEC1,Virtual Endpoint Client (not Vec1) VECx,Satelite Tranmission Terminal Laptop,Engineering Node Management System,Active Directory Services,Perf EnhancingProxy,Network Timing Protocol,Network Recovery & Monitoring,ColorlessNode Manager,SIPR Node Manager,NIPR Node Manager,Network Operations LAN Manager,Network Operations WAN Manager,SIPR Multi-Domain Appliance,,,"Provisioning Maintenance
Laptop (B300)","Maintenance
Laptop (GD8000)",PDSS RELEASE DRIVE,Call Manager,Security Information Manager  ,Security Information Manager (2) ,"Elastic 
Syslog & Filebeat","Elastic
Logstash & Kibana",VMWare ESXi Server ,Nessus Scan Tool,LAN Tier 2 Router (Cisco vRouter) Lite/TRT,LAN Tier 2 Router (Cisco vRouter)             NGEN,Firewall Host (Palo Alto vFw),"Firewall Host (vFW)
(Colorless/
SIPR PoP/SNE)",Firewall Manager (Palo Alto Panorama),RVPS Application Server                    (SIPR),RVPS Application Server          (N/X),ACAS Security Center,,,,,,,,,,,,,
,,,,,"D=Developed
F=Free/Share
G=GFE/GFS
S=Subcontractor
V=VendorCOTS
LSVD",,,,,S/NVEC1,VECx,"STT
Laptop",ENG,DSC,PEP,"NTP
(CentOS)",NRM  (CentOS)  ,XNDM,SNDM,NNDM,NOM,NOW,SMDA  (NG SNE),SMDA (NG POP),SMDA (TCN L),MNT (B300),MNT (GD8000),PDSS RELEASE DRIVE,"CMX
(RedCom)",SIM1,SIM2,SYA,SYI,ESX,NST,T2R (Lite/TRT),T2R (NGEN),FWH,"X/SFWH
(PoP/SNE)",FWM,SRVP,N/XRVP,ASC,,,,,,,,,,,,,
GD,WINT_WAN_Planning,2.5.21.02.02,,"Allows the user to design a WIN-T network and generate communication goals, configurations, and cutsheets to help standup a network.",D,2180,2817052,07-2817052-D2.5.21.02.02L,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDC4S,UPS Configuration Tool,5.1,,"Tool to configure UPS for TCN, NOSC and User Access Case",D,3393,2841159,07-2841159-D5.1L,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDSATCOM ,M20 Gen III SOTM Gui ,4.1.5 ,,GUI to configure M20 GEN III antenna,V,3004,2828916,07-2828916-V4.1.5 LRCQ,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDSATCOM ,M20 Gen IV SOTM Gui (app.jar),8.0.8,,GUI to configure M20 GEN IV antenna,V,3870,US00202397,US00202397-V8.0.4LRCQ,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GitHub,Posh-SSH,2.0.2,,Powershell and secure shell environment included in GD RVPS Bundle,F,3743,2846905,07-2846905-F2.0.2ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
GitHub,Posh-SSH,3.0.0,,Powershell and secure shell environment included in GD RVPS Bundle,F,3743,2846905,07-2846905-F3.0.0ELS,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Google,GSON,2.3.1,,"Tool to work with JSON formatted files used by WAN_Monitoring, WAN_Planning, RemoteServiceProvider NMS Bundle",F,3806,2849878,07-2849878-F2.3.1ELS,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,CHIMERA,1.0.2,,Remotely manage and control  HAIPE encryption devices (uses SQLite),G,3880,2902401,07-2902401-G1.0.2C,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,MS SQL Server Standard  (64 Bit),2012 SP4,Background Support,Relational database server,G,3694,2846286,07-2846286-G2012 SP4C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,MS SQL Server Standard  (64 Bit),2016 SP2-CU16,Background Support,Relational database server,G,3694,2846286,07-2846286-G2016 SP2-CU16C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS,Tier 3 Download Utility,1.1,,Download the encrypted key to a SIPRnet terminal ,G,1982,2825958,07-2825958-G1.1C,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS  (AGM),DoD InstallRoot PKE,5.5,Information Assurance (IA),PKE Install Root ,G,3696,2846287,07-2846287-G5.5C,,1,1,1,1,,,,,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
GOTS  (AGM),MS Office 2016 AGM,2.0.4,Utility,"Office suite of desktop applications, servers and services ",G,3856,US00202398,US00202398-G2.0.4C,,1,1,1,1,,,,,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (DISA),DoD PKE CRLAutoCache (NIPR/SIPR),4.2,,Certificate Revocation List (CRL) Auto Cache,G,3744,2846906,07-2846906-G4.2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
GOTS (DISA),Microsoft NetBanner,2.1.161,,Indicates Enclave,G,3758,2847104,07-2847104-G2.1.161C,,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
GOTS (DISA/Tenable),Nessus ,10.2.0,,Engine that performs security scan on a computer,G,3315,2840061,07-2840061-G10.2.0C,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
GOTS (DISA/Tenable),SecurityCenter,5.19 (Patch SC-202206.1-5.x),,Center that schedules scans and collects  results from Nessus engine,G,3314,2840060,07-2840060-G5.19 (Patch SC-202206.1-5.x)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
GOTS (MITRE),Kibana,0.8.2,Information Assurance (IA),Log viewer,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Elasticsearch,0.8.2,Information Assurance (IA),Log collection,G,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Logstash,0.8.2,Information Assurance (IA),Log parser,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Beats,0.8.2,Information Assurance (IA),Log collection agent,G,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (MITRE),Endgame,0.8.2,Information Assurance (IA),Endpoint security,G,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (PacStar),IQ-Core Client,5.1.14.376,Network Management,Access the IQ-Core Server,G,,,,,1,1,,,,,,,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (PacStar),IQ-Core Server,5.1.14.376,Network Management,Manage/monitor node devices and software,G,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (REACTR),Windows 10 Enterprise LTSC,1809,,Operating System,G,3857,US00202399,US00202399-G1809C,,1,1,1,1,,,,,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (REACTR),Windows 2019 Datacenter,10.0.17763,,Operating System,G,3845,2901781,07-2901781-G10.0.17763C,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
GOTS (REDCOM),Sigma Core,3.1.2,,IP telephony call-processing system (CMX),G,3881,2902402,07-2902402-G3.1.2C,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (REDCOM),Sigma Secure Client (Softphone ),5.1.5,,HIB Softphone,G,3883,2902404,07-2902404-G5.1.5C,,1,1,,,,,,,,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (TN),Sigma Core Provisioning Tool (SPT),4.2.0,,SPT - Tool for Provisioning REDCOM Call Manager ,G,3882,2902403,07-2902403-G4.2.0C,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOTS (TNIC) ,CIT,1.5,,Configuration Initialization Tool used to update TNIC baseline configuration files with unit specific IA settings so they can be loaded into Unit network devices.,G,3756,2847100,07-2847100-G1.5C,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intalio Inc.,Castor,0.9.7,, Framework that provides Java-to-XML binding used by WAN_Planning  NMS Bundle,F,5026,2849397,07-2849397-F0.9.7ELS,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntelliPower UPS Megatec Netility,Netility,4.5,,Supports Datapath Maxview software  ,V,,2902412,07-2902412-V4.5LRCQ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ireasoning.com,iReasoning,5.0.5,,SNMP MIB Browser,V,2009,2825962,07-2825962-V5.0.5LRCQ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,Java,1.8.0_0221,,Supports Datapath Maxview software  ,V,,2902413,07-2902413-V1.8.0_0221LRCQ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jidesoft.com,JIDE Common,3.6.14,,Java Swing based GUI framework used to implement GUI tables and GUI trees for WAN_Planning and WAN_Monitoring NMS Bundles,F,2189,2826045,07-2826045-F3.6.14ELS,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jounin.net,tftpd32,3.35,,file transfer included with  tera term tools folder ,F,3858,US00202400,US00202400-F3.35ELS,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jquery.com,Jquery,2.2.3,,User Interface  Functionality included in MS RPS Sw Bundle,F,3745,2846907,07-2846907-F2.2.3ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Jquery.com,Jquery,3.1.0,,User Interface  Functionality included in MS RPS Sw Bundle,F,3745,2846907,07-2846907-F3.1.0ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Knockoutjs.com,KnockoutJS,3.4.2,,User Interface  Functionality included in MS RPS Sw Bundle,F,3746,2846908,07-2846908-F3.4.2ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
L3 Modem Maintenance Software,HCI,2.3.6.0,Nodal Management,Management Software for the MPM modem,V,3007,2828918,07-2828918-V2.3.6.0LRCQ,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maven,SwingX,1.6.5-1,,Provides extensions to the Java Swing GUI toolkit,F,2195,2826046,07-2826046-F1.6.5-1ELS,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,.NET,4.6.2,,"Programming framework that supports building, deploying and running applications and XML Web services",G,3310,2840984,07-2840984-G4.6.2C,,1,1,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,.NET,4.8,,"Programming framework that supports building, deploying and running applications and XML Web services",G,3310,2840984,07-2840984-G4.8C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Access Database Engine,2010 SP2,,Used to support Runbooks,G,3711,2846484,07-2846484-G2010 SP2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,ContentStore,2.5.22.3.48,,RPS Provisioning and Organic Patching,G,3889,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,ASP .NET Core,5.0.15.22116,,RPS Provisioning Dependency,F,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Deployment Tools,8.100.26366,,Deployment tools feature of MS Windows ADK provides a utility for creating an ISO (installer with ADKInstall Tool),F,3821,2900326,07-2900326-F(01)ELS,(01),,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,DSC for Linux,2.1.1-0,,Support Microsoft RPS,F,3885,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Edge,104.0.1293.54,,Internet browser,F,,,,,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,Entity Framework,6.3.0,,Object-relational mapper (O/RM) for .NET included in GD RVPS Bundle,F,3817,2900323,07-2900323-F6.3.0ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,Hyper-V Manager,10.0.17763.1,,Provides management access to virtual platforms,G,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,IIS,8.5,,Internet Information Service,G,3108,2839143,07-2839143-G8.5C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,LPE,1.22.0728.1142 ,,RPS Provisioning Utility,G,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,OMI,1.6.8-0,,OMI (Open Management Infrastructure) to support Microsoft RPS,F,3886,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,OMI PSRP Server   ,1.4.2-2,,OMI Powershell Remoting Protocol (PSRP) server to support Microsoft RPS,F,3887,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Powershell,5.1,,Task automation and configuration management framework consisting of command-line shell and associated scripting language built on the .NET framework,F,3313,2839324,07-2839324-F5.1ELS,,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,Powershell,7.1.3,,Task automation and configuration management framework consisting of command-line shell and associated scripting language built on the .NET framework to support Microsoft RPS,F,3313,2839324,07-2839324-F7.1.3ELS,,,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft ,PowerSTIG,4.12.1,,Hardening configuration,G,3876,US00202401,US00202401-G4.4C,,1,1,1,1,1,,1,1,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,RDT,1.22.0718.1243,,RPS Provisioning ,G,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
M+112:119icrosoft,Report Viewer 2012,11.1.3452.0,,A package that includes Windows Forms and ASP.Net Web server controls  to  enable applications that run on the .NET Framework to display reports.,F,3759,2847105,07-2847105-F(01)ELS,(01),,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,RPS Core,4.0.1,,RPS Provisioning,G,3890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,RPS Provisioning Service,1.0.0.0,,Service for RPS Provisioning,G,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,Sidewinder,1.0.0,,Tool to load a patch stream.,G,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,RPS Task Management Service,1.0.0.0,,Service for RPS Task Management,G,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,Thundercat,1.3.0,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,VISIO Pro,2013 SP1,,Diagramming tool ,G,2191,2826032,07-2826032-G2013 SP1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2005 Redistributable,8.0.61001,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2005 SP1 Redist(x64),8.0.56336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2005 SP1 Redist(x86),8.0.56336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2012 Redist(x64),11.0.61030.0,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2012 Redist(x86),11.0.61030.0,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2013 Redist(x64),12.0.21005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2013 Redist(x64),12.0.40660.0,,,,,,,,,,,,,,,,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2013 Redist(x86),12.0.21005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2015-2019 Redist(x64),14.27.29016,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,Visual C++ 2015-2019 Redist(x64),14.30.30704,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2015-2019 Redist(x86),14.27.29016,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,WEB Grease,1.6.5.135.21930,,"Tools for optimizing javascript, css files and images included in MS RPS Sw Bundle",F,3749,2846911,07-2846911-F1.6.5.135.21930ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Microsoft,Windows Desktop Runtime,5.0.15.31016,,RPS Provisioning Dependency,F,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Mozilla,Firefox ESR ,91.13.0,,Web browser,F,3871,US00202402,US00202402-F68.5.0ELS,,1,1,1,,,,,,,,,,,1,1,1,1,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
NASA,Worldwind,2.1,,Mapping toolkit provides access to maps ,G,5241,2841127,07-2841127-G2.1C,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Geophysical Data Center (NOAA),Magnetic Declination,677,,Toolkit that computes the main components of the geomagnetic field and their annual changes. Used by WAN_Planning NMS  Bundle,G,5029,2849398,07-2849398-G677C,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netapp,OnCommand,3.1.2.6399,,Centralized tool to manage NetApp Storage systems,F,3099,2839326,07-2839326-F3.1.2.6399ELS,,1,1,1,,,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newtonsoft,Json.NET,12.0.2,,User Interface  Messaging included in MS RPS Sw Bundle,F,3750,2846912,07-2846912-F12.0.2ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
notepad-plus-plus.org,Notepad++,6.9.1,,Source code editor,F,3008,2828919,07-2828919-F6.9.1ELS,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSSH,OpenSSH,5.3-p1,Utility,provides encrypted comm sessions over network ,F,2038,2817114,07-2817114-F5.3-p1ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
OpenSSH,OpenSSH,7.4-p1,Utility,provides encrypted comm sessions over network ,F,2038,2817114,07-2817114-F7.4-p1ELS,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSSH,OpenSSH,8.1p1-1,Utility,provides encrypted comm sessions over network ,F,2038,2817114,07-2817114-F8.1p1-1ELS,,1,1,1,1,,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palo Alto ,Panorama ,10.17.1,Information Assurance (IA),Manager for the Palo Alto Firewalls  ,G,3714,2846480,07-2846480-G10.17.1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Palo Alto ,Next Generation Virtual Firewall (PanOS),10.17.1,Information Assurance (IA),"virtualized IPS, Anti-virus, application protection",G,3715,2846481,07-2846481-G10.17.1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Palo Alto ,Next Gen Virtual Firewall License,VM-100,,license for Next Generation Virtual Firewall ,G,3872,US00202403,US00202403-GVM-100C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Palo Alto ,Next Gen Virtual Firewall License,VM-300,,license for Next Generation Virtual Firewall ,G,3872,US00202403,US00202403-GVM-300C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Perl.org,Perl,5.8.0,,Scripting language used by NMS  Credential Scripts on ENG and MON,F,5017,2849884,07-2849884-F5.8.0ELS,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL,PostgreSQL,12.10,,Open source object-relational database used with RPS,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Simon Tatham,PuTTy,0.77,Utility,PuTTY is used to make an SSH connection to your server,F,2016,2817085,07-2817085-F0.77ELS,,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
CentOS,CentOS (64 Bit),7.90,,Community Enterprise Linux Operating System,F,3888,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,
Red Hat,Linux Enterprise Server (64 Bit),7.7,,Operating System,G,3782,2848137,07-2848137-G7.7C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openjdk.org,OpenJDK (64 Bit),8u342,,Java Development kit,F,3766,2847133,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,
Red Hat,open-vm-tools ,10.3.10-2,,Performance enhancement utility for virtual machines running Linux.,F,3760,2847107,07-2847107-F10.3.10-2ELS,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF Linx,Tunable Antennafier,1.3,Nodal Management,Digitally tunable bi-directional amplifier for wireless LAN,V,2018,2825947,07-2825947-V1.3LRCQ,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbed,Performance Enhancing Proxy (PEP),9.14.1,Nodal Management,TCP accelerator,G,5073,2839394,07-2839394-G9.14.1C,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbed ,WinPcap,4.1.3,,Provide link-layer network access in Windows environment;installed by Solarwinds NPM or Nessus,G,3541,2844419,07-2844419-G4.1.3C,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbed,Win10Pcap ,10.2.5002,,Provide link-layer network access in Windows environment;required for wireshark and UPS Configuration Tool,G,3754,2847102,07-2847102-G10.2.5002C,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rxtx.org,RxTx,2.1,,A Java library,F,2019,2824948,07-2824948-F2.1ELS,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC,SEC SIT Tool ,4QFY22 2.5.22.4,,SEC/MT Patch Tagging,D,,,,,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,
Sencha,EXT JS,5.1.3,,Java script libraries used by NMS_Monitoring NMS Bundle,F,1505,2828943,07-2828943-F5.1.3ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Hound Spike,Spike,3.1.14.3,,Supports Datapath Maxview software  ,V,,2902414,07-2902414-V3.1.14.3LRCQ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SolarWinds Desktop Toolset,v2020.2.6 HF2,Nodal Management,"Desktop management, monitoring, and troubleshooting tools",G,,,,,,,1,,,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SolarWinds Engineer's Toolset,2.5.22.3.00,Nodal Management,"Desktop management, monitoring, and troubleshooting tools",G,2020,2817095,07-2817095-G2.5.22.3.00C,,,,1,,,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Netflow Traffic Analyzer,V2020.2.6,Nodal Management,Converts network raw numbers into easy-to-interpret charts and tables,G,1545,2826036,07-2826036-GV2020.2.6C,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Solarwinds Network Configuration Manager ENT  DL500,7.7,Nodal Management,"Automate network config, increase availability, save time, improve security, and ensures policy adherence.",G,2198,2826033,07-2826033-G7.7C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Solarwinds Network Configuration Manager ENT Unlimited V2 DLX,7.7,Nodal Management,"Automate network config, increase availability, save time, improve security, and ensures policy adherence.",G,2199,2826034,07-2826034-G7.7C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Solarwinds Orion Network Performance Monitor (NPM),V2020.2.6 HF3,Nodal Management,"Monitoring, collecting, and analyzing network data",G,1557,2826035,07-2826035-GV2020.2.6 HF3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SFTP/SCP Server,2.2.0.120,,To securely upload/download executable images  configurations for routers and switches.  Included with Engineer's Toolset,F,3645,2844813,07-2844813-F2.2.0.120ELS,,,,1,,,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SFTP/SCP Server,1.1.0.16,,To securely upload/download executable images  configurations for routers and switches.  Included with NCM and VNQM,F,3645,2844813,07-2844813-F1.1.0.16ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
