Vendor,ProductName(TotalCI/NodeQuantity),Version,Function,IntendedUse,Product Category,LCCE UniqueID,PLM/PDM Root,PLM/PDM Part Number,"Mitigated Version #
(25 char limit exceeded)",Virtual Endpoint Client S/NVEC1,Virtual Endpoint Client (not Vec1) VECx,Satelite Tranmission Terminal Laptop,Engineering Node Management System,Active Directory Services,Perf EnhancingProxy,Network Timing Protocol,Network Recovery & Monitoring,ColorlessNode Manager,SIPR Node Manager,NIPR Node Manager,Network Operations LAN Manager,Network Operations WAN Manager,SIPR Multi-Domain Appliance,,,"Provisioning Maintenance
Laptop (B300)","Maintenance
Laptop (GD8000)",PDSS RELEASE DRIVE,Call Manager,Security Information Manager  ,Security Information Manager (2) ,"Elastic 
Syslog & Filebeat","Elastic
Logstash & Kibana",VMWare ESXi Server ,Nessus Scan Tool,LAN Tier 2 Router (Cisco vRouter) Lite/TRT,LAN Tier 2 Router (Cisco vRouter)             NGEN,Firewall Host (Palo Alto vFw),"Firewall Host (vFW)
(Colorless/
SIPR PoP/SNE)",Firewall Manager (Palo Alto Panorama),RVPS Application Server                    (SIPR),RVPS Application Server          (N/X),ACAS Security Center,,,,,,,,,,,,,
,,,,,"D=Developed
F=Free/Share
G=GFE/GFS
S=Subcontractor
V=VendorCOTS
LSVD",,,,,S/NVEC1,VECx,"STT
Laptop",ENG,DSC,PEP,"NTP
(CentOS)",NRM  (CentOS)  ,XNDM,SNDM,NNDM,NOM,NOW,SMDA  (NG SNE),SMDA (NG POP),SMDA (TCN L),MNT (B300),MNT (GD8000),PDSS RELEASE DRIVE,"CMX
(RedCom)",SIM1,SIM2,SYA,SYI,ESX,NST,T2R (Lite/TRT),T2R (NGEN),FWH,"X/SFWH
(PoP/SNE)",FWM,SRVP,N/XRVP,ASC,,,,,,,,,,,,,
beansbinding.dev.java.net,Beans Binding,1.2.1,, Framework used to bind data objects to Java Swing GUI components used by WAN_Planning and Monitoring NMS Bundles,F,5035,2849396,07-2849396-F1.2.1ELS,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Rock,"SNMPc Enterprise Edition
w/ remote Java console edition",9.0.12.1,Network Management/ Planning,"Displays topology map, event logs, and MIB displays",G,1549,2817039,07-2817039-G9.0.12.1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Rock,SNMPc Online ,12.1.10.1,Network Management/ Planning,"Front end for network statistics, alerts, and node information ",G,2169,2817036,07-2817036-G12.1.10.1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Rock,SNMPc Remote Access Extension,9.0.12.1,Network Management/ Planning,Allows for Remote Console users and Remote Polling agents,G,1551,2817037,07-2817037-G9.0.12.1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Rock,SNMPc Workgroup Edition,9.0.12.1,Network Management/ Planning,Proactive real-time monitoring of a network infrastructure,G,1975,2825940,07-2825940-G9.0.12.1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisco,CSR 1000v FLT 2.5G,17.1.6a,,2.5G virtual router to provide hardware LAN Router functionality ,V,3878,US00202413,US00202413-V16.12.4_SR687365301_3LRCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
Microsoft,Federal License Tool Activation,1.0.0 11-4-2022,,Tool that activates Cisco Licences to use on Cisco Devices. ,G,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cisco ,Federal License Tool,1.0.0 2021-11-30_2023-06-01,,Tool that generates the authorization code to license the Cisco CSR virtual router. Note: cert start and expiration date added to version number,G,3854,US00202393,US00202393-G1.0.0 2020-92-29_2022-03-31C,,,,1,,,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons.apache.org/BeanUtils,Apache Commons-BeanUtils,1.8,,Utilities for manipulating java beans,F,1977,2825970,07-2825970-F1.8ELS,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
commons.apache.org/io,Apache Commons-IO,1.4,,Utilities for input/output operations,F,1978,2825969,07-2825969-F1.4ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
