NOSC-L,,,,,,,Total,Server,Durabook,Getac,Crystal Server,Server VM,Laptop VM,Image,S/NVEC1,VECx,"STT
Laptop",ENG,DSC,PEP,"NTP
(CentOS)",NRM  (CentOS)  ,XNDM,SNDM,NNDM,NOM,NOW,SMDA  (NG SNE),SMDA (NG POP),SMDA (TCN L),MNT (B300),MNT (GD8000),PDSS RELEASE DRIVE,"CMX
(RedCom)",SIM1,SIM2,SYA,SYI,ESX,NST,T2R (Lite/TRT),T2R (NGEN),FWH,"X/SFWH
(PoP/SNE)",FWM,SRVP,N/XRVP,ASC,,,,,
,,,,,,,52,6,,,,,,Server,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
,,,,,,,,,4,,,,,Durabook,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,13,,,,Getac,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Crystal Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,29,,Server VM,,,,,3,,,3,,,,,3,,,,,,,,2,2,2,2,,,,,3,,3,1,2,3,,,,,
,,,,,,,,,,,,,,Laptop VM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor,Product,Version,Category,  PLM Part Number,,,,,,,,,,,SVEC1  NVEC1,SVEC2-7 NVEC2-5 XVEC1-3,,SENG1   SENG2,"SDSC
NDSC
XDSC",,,SNRM  NNRM XNRM,,,,,"SNOW
NNOW
XNOW",,,,,,,,"SSIM1
NSIM1
","SSIM2
NSIM2","SSYA
NSYA","SSYI
NSYI","SESX1-2
NESX1-2
XESX1-2",,,,SFWH NFWH XFWH,,SFWM NFWM XFWM,SFWM NFWM XFWM,SFWM NFWM XFWM,"SASC
NASC
XASC",,,,,
L3 Modem Maintenance Software,HCI,2.3.6.0,V,07-2828918-V2.3.6.0LRCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maven,SwingX,1.6.5-1,F,07-2826046-F1.6.5-1ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,.NET,4.6.2,G,07-2840984-G4.6.2C,,,18,,2,13,,3,,,2,13,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,.NET,4.8,G,07-2840984-G4.8C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Access Database Engine,2010 SP2,G,07-2846484-G2010 SP2C,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,ContentStore,2.5.22.3.48,G,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,ASP .NET Core,5.0.15.22116,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Deployment Tools,8.100.26366,F,07-2900326-F(01)ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,DSC for Linux,2.1.1-0,F,,,,11,,,,,11,,,,,,,,,,3,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,,,,,,
Microsoft,Edge,104.0.1293.54,F,,,,23,,4,13,,6,,,2,13,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,Entity Framework,6.3.0,F,07-2900323-F6.3.0ELS,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,Hyper-V Manager,10.0.17763.1,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,IIS,8.5,G,07-2839143-G8.5C,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,LPE,1.22.0728.1142 ,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,OMI,1.6.8-0,F,,,,3,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,OMI PSRP Server   ,1.4.2-2,F,,,,3,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Powershell,5.1,F,07-2839324-F5.1ELS,,,23,,4,13,,6,,,2,13,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,Powershell,7.1.3,F,07-2839324-F7.1.3ELS,,,14,,,,,14,,,,,,,,,,3,,,,,,,,,,,,,2,2,2,2,,,,,,,,1,2,,,,,,
Microsoft ,PowerSTIG,4.12.1,G,US00202401-G4.4C,,,26,,4,13,,9,,,2,13,,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,RDT,1.22.0718.1243,G,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
M+112:119icrosoft,Report Viewer 2012,11.1.3452.0,F,07-2847105-F(01)ELS,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,RPS Core,4.0.1,G,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,RPS Provisioning Service,1.0.0.0,G,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,Sidewinder,1.0.0,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,RPS Task Management Service,1.0.0.0,G,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,Thundercat,1.3.0,G,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,VISIO Pro,2013 SP1,G,07-2826032-G2013 SP1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2005 Redistributable,8.0.61001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2005 SP1 Redist(x64),8.0.56336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2005 SP1 Redist(x86),8.0.56336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2012 Redist(x64),11.0.61030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2012 Redist(x86),11.0.61030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2013 Redist(x64),12.0.21005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2013 Redist(x64),12.0.40660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2013 Redist(x86),12.0.21005.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2015-2019 Redist(x64),14.27.29016,,,,,6,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,Visual C++ 2015-2019 Redist(x64),14.30.30704,,,,,3,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,Visual C++ 2015-2019 Redist(x86),14.27.29016,,,,,6,,,,,6,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,WEB Grease,1.6.5.135.21930,F,07-2846911-F1.6.5.135.21930ELS,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Microsoft,Windows Desktop Runtime,5.0.15.31016,F,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Mozilla,Firefox ESR ,91.13.0,F,US00202402-F68.5.0ELS,,,18,,2,13,,3,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
NASA,Worldwind,2.1,G,07-2841127-G2.1C,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Geophysical Data Center (NOAA),Magnetic Declination,677,G,07-2849398-G677C,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netapp,OnCommand,3.1.2.6399,F,07-2839326-F3.1.2.6399ELS,,,15,,2,13,,,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newtonsoft,Json.NET,12.0.2,F,07-2846912-F12.0.2ELS,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
notepad-plus-plus.org,Notepad++,6.9.1,F,07-2828919-F6.9.1ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSSH,OpenSSH,5.3-p1,F,07-2817114-F5.3-p1ELS,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
OpenSSH,OpenSSH,7.4-p1,F,07-2817114-F7.4-p1ELS,,,3,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenSSH,OpenSSH,8.1p1-1,F,07-2817114-F8.1p1-1ELS,,,17,,4,13,,,,,2,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palo Alto ,Panorama ,10.17.1,G,07-2846480-G10.17.1C,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Palo Alto ,Next Generation Virtual Firewall (PanOS),10.17.1,G,07-2846481-G10.17.1C,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Palo Alto ,Next Gen Virtual Firewall License,VM-100,G,US00202403-GVM-100C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palo Alto ,Next Gen Virtual Firewall License,VM-300,G,US00202403-GVM-300C,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Perl.org,Perl,5.8.0,F,07-2849884-F5.8.0ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL,PostgreSQL,12.10,F,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Simon Tatham,PuTTy,0.77,F,07-2817085-F0.77ELS,,,21,,4,13,,4,,,2,13,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
CentOS,CentOS (64 Bit),7.90,F,,,,14,,,,,14,,,,,,,,,,3,,,,,,,,,,,,,2,2,2,2,,,,,,,,,,3,,,,,
Red Hat,Linux Enterprise Server (64 Bit),7.7,G,07-2848137-G7.7C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openjdk.org,OpenJDK (64 Bit),8u342,F,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
Red Hat,open-vm-tools ,10.3.10-2,F,07-2847107-F10.3.10-2ELS,,,3,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF Linx,Tunable Antennafier,1.3,V,07-2825947-V1.3LRCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbed,Performance Enhancing Proxy (PEP),9.14.1,G,07-2839394-G9.14.1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbed ,WinPcap,4.1.3,G,07-2844419-G4.1.3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverbed,Win10Pcap ,10.2.5002,G,07-2847102-G10.2.5002C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rxtx.org,RxTx,2.1,F,07-2824948-F2.1ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEC,SEC SIT Tool ,4QFY22 2.5.22.4,D,,,,29,,4,13,,12,,,2,13,,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,
Sencha,EXT JS,5.1.3,F,07-2828943-F5.1.3ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Hound Spike,Spike,3.1.14.3,V,07-2902414-V3.1.14.3LRCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SolarWinds Desktop Toolset,v2020.2.6 HF2,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SolarWinds Engineer's Toolset,2.5.22.3.00,G,07-2817095-G2.5.22.3.00C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Netflow Traffic Analyzer,V2020.2.6,G,07-2826036-GV2020.2.6C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Solarwinds Network Configuration Manager ENT  DL500,7.7,G,07-2826033-G7.7C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Solarwinds Network Configuration Manager ENT Unlimited V2 DLX,7.7,G,07-2826034-G7.7C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,Solarwinds Orion Network Performance Monitor (NPM),V2020.2.6 HF3,G,07-2826035-GV2020.2.6 HF3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SFTP/SCP Server,2.2.0.120,F,07-2844813-F2.2.0.120ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,SFTP/SCP Server,1.1.0.16,F,07-2844813-F1.1.0.16ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,TFTP Server,11.2.0,F,07-2826041-F11.2.0ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds Software,VoIP and Network Quality Manager (VNQM),4.4.1,G,07-2839282-G4.4.1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds License Keys,VLI1,NOV2021,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds License Keys,VLI2,NOV2021,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds License Keys,VLI3,NOV2021,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SolarWinds License Keys,VLI4,NOV2021,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourceforge,Java Excel API,2.6.8,F,07-2828945-F2.6.8ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourceforge,Jdiff,1.2.1,F,07-2825966-F1.2.1ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourceforge,JFreeChart,1.0.11,F,07-2828947-F1.0.11ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourceforge,JHotDraw,5.2,F,07-2849399-F5.2ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourceforge,Sblim Cim Client  ,2-2.2.5,F,07-2849885-F2-2.2.5ELS,,,3,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourceforge,Tera Term,4.105,F,07-2834059-F4.105ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSHTools,J2SSH Maverick,1.7.35,V,07-2817018-V1.7.35LRCQ,,,3,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Army,SECRenderer,Beta 1.0.0,G,07-2841128-GBeta 1.0.0C,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMware,VMWare Tools,12.0.6-20104755,G,07-2839145-G12.0.6-20104755C,,,9,,,,,9,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,2,,,,,,
Vmware ,VMWare VIX,5.1.2.1422937,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMware,vSphere CLI,6.0.0.7357,G,07-2839167-G6.0.0.7357C,,,18,,2,13,,3,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
VMware,"vSphere Enterprise Plus 7.0 (Hypervisor)
(ESXi)",7.0U3g,G,07-2825973-G7.0U3gC,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
VMware,vSphere PowerCLI,12.3,G,07-2839326-G12.3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMware,vSphere PowerCLI,6.5.0.4624819,G,07-2839326-G6.5.0.4624819C,,,18,,2,13,,3,,,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
winmerge.org,WinMerge,2.14.0,F,07-2828922-F2.14.0ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinSCP,WinSCP,5.21.2,F,07-2828923-F5.21.2ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wireshark.org,Network Analyzer,3.6.2,F,07-2828924-F3.6.2ELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yWorks,yFiles Complete Bundle,2.13,V,07-2825959-V2.13LRCQ,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yWorks,yWorks HTML,1.1.1.6,V,07-2839494-V1.1.1.6LRCQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(GD),OE Software Bundle,2023Q1_B01,D,07-2817069-D2023Q1_B01L,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) 3sp,J2SSH Maverick ,1.7.4,V,07-2828926-V1.7.4LRCQ,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Apache,Ant,1.9.5,F,07-2828930-F1.9.5ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Apache,Axis2,1.6.0,F,07-2828927-F1.6.0ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Apache,Log4j,1.2.17,F,07-2828931-F1.2.17ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Apache,Muse,2.3.2,F,07-2828932-F2.3.2ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Apache,Rampart,1.6,F,07-2828933-F1.6ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Apache,Xerces2,2.11.0,F,07-2828929-F2.11.0ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Azul,Azul OpenJDK (64 bit),"1.8.0_232-b18   /
8.42.0.21-CA-win64",F,,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) java.net,JAXB,2.1.7,F,,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Microsoft,SQL Server Express,2017,F,07-2900324-F2017ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Microsoft,SQL Server JDBC Driver,6.4.0.jre8,F,07-2900814-F6.4.0.jre8ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) NSS,Network Security Services for Java (JSS),4.3,F,07-2839166-F4.3ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) NSPR,Netscape Portable Runtime (NSPR),4.8,F,,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) NSS,Network Security Services (NSS),3.12.4,F,,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Red Hat,JBOSS Enterprise Application Platform (EAP),6.4.4,G,07-2828940-G6.4.4C,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) RedHat,JBOSS HornetQ,2.3.25.Final,,,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) RedHat,Drools Business Rules Management System (BRMS),6.5.0,F,,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Sourceforge,Docx4j,3.2.1,F,07-2846486-F3.2.1ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Sourceforge,Dom4j,2.0.0-RC1,F,07-2828942-F(01)ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Sourceforge,EHCache,2.10.2,F,07-2826084-F2.10.2ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) spring.io,Spring Framework,4.1.7,F,07-2825955-F4.1.7ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Bouncy Castle,Bouncy Castle,1.51,F,07-2846634-F1.51ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Red Hat,Hibernate,3.3.1GA,F,07-2828949-F3.3.1GAELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(NMS) RedHat,Hibernate Tools,3.2.0GA,F,,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) TIBCO Software Inc,JasperReports,6.1.0,F,07-2839149-F6.1.0ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Eclipse Foundation,Jetty,9.3.0,F,07-2828946-F9.3.0ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Forgerock,OpenDJ,2.6.2,F,07-2839150-F2.6.2ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) OpenSSL,OpenSSL,1.0.2t,F,07-2843893-F1.0.2tELS,,,5,,2,,,3,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) Quartz-Scheduler.org,Quartz,1.6.4,F,07-2828959-F1.6.4ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) BEA Systems Inc.,Stax,1.2.0,F,07-2828961-F1.2.0ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) xom.nu,XOM,1.2.5,F,07-2828960-F1.2.5ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) saxon.sourceforge.net,XSLT 2.0 Processor (Saxon),9.7,F,07-2828957-F9.7ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(OE) wso2.com,WSO2 Identity Server,3.0.1,F,07-2839395-F3.0.1ELS,,,2,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOR KEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Item has been deleted from BOM, the item will be removed from the next version of the BOM.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item has been updated since last baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicates documentation error ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not delivered for 1Q20 but in Sw Deployment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
License Obtained by Unit not delivered on PDSS release Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item has been merged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OE Software Bundle,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
