NOSC-L,,,,,,,Total,Server,Durabook,Getac,Crystal Server,Server VM,Laptop VM,Image,S/NVEC1,VECx,"STT
Laptop",ENG,DSC,PEP,"NTP
(CentOS)",NRM  (CentOS)  ,XNDM,SNDM,NNDM,NOM,NOW,SMDA  (NG SNE),SMDA (NG POP),SMDA (TCN L),MNT (B300),MNT (GD8000),PDSS RELEASE DRIVE,"CMX
(RedCom)",SIM1,SIM2,SYA,SYI,ESX,NST,T2R (Lite/TRT),T2R (NGEN),FWH,"X/SFWH
(PoP/SNE)",FWM,SRVP,N/XRVP,ASC,,,,,
,,,,,,,52,6,,,,,,Server,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
,,,,,,,,,4,,,,,Durabook,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,13,,,,Getac,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Crystal Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,29,,Server VM,,,,,3,,,3,,,,,3,,,,,,,,2,2,2,2,,,,,3,,3,1,2,3,,,,,
,,,,,,,,,,,,,,Laptop VM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor,Product,Version,Category,  PLM Part Number,,,,,,,,,,,SVEC1  NVEC1,SVEC2-7 NVEC2-5 XVEC1-3,,SENG1   SENG2,"SDSC
NDSC
XDSC",,,SNRM  NNRM XNRM,,,,,"SNOW
NNOW
XNOW",,,,,,,,"SSIM1
NSIM1
","SSIM2
NSIM2","SSYA
NSYA","SSYI
NSYI","SESX1-2
NESX1-2
XESX1-2",,,,SFWH NFWH XFWH,,SFWM NFWM XFWM,SFWM NFWM XFWM,SFWM NFWM XFWM,"SASC
NASC
XASC",,,,,
GD,ADKInstall,2.5.19.2.00,D,07-2900325-D2.5.19.2.00L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,ESXiUSBKEY,2.5.23.1.00,D,07-2849620-D2.5.23.1.00L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,iPXEUSBKEY,2.5.23.1.00,D,07-2902034-D2.5.23.1.00L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,NCW Gold Configs ,10.5.4,D,07-2902406-D10.5.4L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,NetStatusClient,,D,07-2848763-DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,OCSP Responder,2.5.18.3.3,D,07-2849876-D2.5.18.3.3L,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
GD,PHSS Package,Apr2019,D,07-2817056-DApr2019L,,,17,,4,13,,,,,2,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,Provisioning Configuration Tool,2.5.22.3.0,D,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,
GD,PTMT,2.5.22.1.00,D,07-2902407-D2.5.22.1.00L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD,Riverbed Finalization,2.5.22.4.01,D,07-2848251-D2.5.22.4.01L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
